epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,115.899,1.92759,1.48103,1.46233,0.5484,0.60424,0.60956,0.34385,2.09421,1.57856,1.52588,0.000555079,0.000555079,0.000555079
2,219.136,1.88161,1.34886,1.42061,0.64794,0.60605,0.66299,0.45783,1.96754,1.349,1.43239,0.00109975,0.00109975,0.00109975
3,321.312,1.8339,1.29511,1.39415,0.71383,0.63482,0.68935,0.4653,1.93029,1.30732,1.38266,0.00163342,0.00163342,0.00163342
4,423.252,1.7977,1.25049,1.36473,0.7417,0.66857,0.72646,0.49098,1.85929,1.24648,1.36688,0.00161749,0.00161749,0.00161749
5,524.703,1.76013,1.19363,1.34371,0.73741,0.67528,0.73324,0.49758,1.83724,1.19137,1.34117,0.00160099,0.00160099,0.00160099
6,626.78,1.71931,1.15938,1.3289,0.77814,0.69102,0.74879,0.51645,1.79165,1.14094,1.3116,0.00158448,0.00158448,0.00158448
7,729.324,1.70763,1.13271,1.31292,0.77159,0.68316,0.75266,0.53076,1.76345,1.13275,1.29604,0.00156798,0.00156798,0.00156798
8,831.942,1.68876,1.10306,1.30099,0.7737,0.69793,0.75775,0.52718,1.79942,1.11528,1.30788,0.00155148,0.00155148,0.00155148
9,934.736,1.67857,1.0959,1.29616,0.76201,0.71594,0.76807,0.53544,1.76634,1.08655,1.28185,0.00153497,0.00153497,0.00153497
10,1036.96,1.65832,1.06447,1.28289,0.77425,0.72043,0.77448,0.54227,1.76705,1.07269,1.29224,0.00151847,0.00151847,0.00151847
11,1138.48,1.65147,1.05609,1.27885,0.78427,0.71401,0.77562,0.55691,1.72948,1.04836,1.27325,0.00150197,0.00150197,0.00150197
12,1240.2,1.63178,1.02978,1.26524,0.79473,0.70484,0.77512,0.53873,1.74562,1.03508,1.27778,0.00148546,0.00148546,0.00148546
13,1342.48,1.63663,1.0217,1.26488,0.77209,0.73697,0.79144,0.56133,1.73257,1.03435,1.26088,0.00146896,0.00146896,0.00146896
14,1444.55,1.61878,1.00987,1.25958,0.75046,0.73714,0.78869,0.56491,1.68491,1.03716,1.25548,0.00145246,0.00145246,0.00145246
15,1547.49,1.61885,1.00454,1.25536,0.78204,0.72009,0.78053,0.55416,1.71701,1.02432,1.25965,0.00143595,0.00143595,0.00143595
16,1649.8,1.59868,0.98389,1.24907,0.80401,0.71172,0.78623,0.56347,1.7075,0.99887,1.24714,0.00141945,0.00141945,0.00141945
17,1752.45,1.60068,0.98462,1.24289,0.77809,0.74265,0.80077,0.57984,1.68179,0.99658,1.239,0.00140295,0.00140295,0.00140295
18,1856.21,1.58094,0.97107,1.23761,0.80464,0.73655,0.80088,0.58055,1.67547,0.9759,1.23949,0.00138644,0.00138644,0.00138644
19,1958.69,1.5661,0.94901,1.23446,0.7934,0.74886,0.80557,0.57129,1.68497,0.97537,1.24366,0.00136994,0.00136994,0.00136994
20,2060.91,1.57434,0.95727,1.23292,0.78931,0.74978,0.80109,0.56982,1.68247,0.98129,1.23682,0.00135344,0.00135344,0.00135344
21,2163.22,1.56691,0.9393,1.22861,0.7909,0.74525,0.8083,0.58339,1.66792,0.95805,1.24113,0.00133693,0.00133693,0.00133693
22,2266.15,1.56524,0.93806,1.22761,0.80333,0.75598,0.80984,0.58699,1.65363,0.95899,1.23333,0.00132043,0.00132043,0.00132043
23,2367.83,1.54729,0.92561,1.22035,0.80526,0.74246,0.80776,0.57528,1.67741,0.95366,1.2357,0.00130393,0.00130393,0.00130393
24,2470.55,1.55268,0.9198,1.21618,0.8198,0.74752,0.81476,0.59117,1.64306,0.93078,1.22413,0.00128742,0.00128742,0.00128742
25,2573.74,1.54205,0.91084,1.21462,0.81689,0.73434,0.80683,0.5856,1.65985,0.93724,1.22899,0.00127092,0.00127092,0.00127092
26,2675.92,1.53712,0.91092,1.20911,0.8116,0.75673,0.81504,0.59245,1.6405,0.93452,1.21695,0.00125442,0.00125442,0.00125442
27,2778.56,1.53123,0.90107,1.20814,0.80866,0.75561,0.81869,0.5941,1.64523,0.93552,1.2217,0.00123791,0.00123791,0.00123791
28,2880.48,1.5289,0.89512,1.20673,0.81607,0.759,0.82078,0.59716,1.64462,0.91886,1.21702,0.00122141,0.00122141,0.00122141
29,2982.78,1.52187,0.89001,1.20259,0.79913,0.76032,0.82216,0.60033,1.63458,0.91586,1.20979,0.00120491,0.00120491,0.00120491
30,3085.3,1.52157,0.88879,1.20662,0.81252,0.76182,0.81789,0.59161,1.6355,0.91278,1.21145,0.0011884,0.0011884,0.0011884
31,3187.16,1.50666,0.8757,1.19692,0.81563,0.75806,0.82031,0.5929,1.6338,0.90514,1.21003,0.0011719,0.0011719,0.0011719
32,3288.59,1.50702,0.87351,1.20339,0.82278,0.76267,0.82234,0.59922,1.63719,0.9111,1.21529,0.0011554,0.0011554,0.0011554
33,3391.12,1.50446,0.87045,1.19596,0.80833,0.77322,0.82766,0.60429,1.62641,0.90405,1.21117,0.00113889,0.00113889,0.00113889
34,3494.68,1.49579,0.86115,1.19197,0.80299,0.77259,0.82346,0.59885,1.63384,0.89602,1.20684,0.00112239,0.00112239,0.00112239
35,3597.15,1.49013,0.86326,1.19003,0.81322,0.76772,0.82876,0.60769,1.61229,0.89197,1.20029,0.00110589,0.00110589,0.00110589
36,3699.85,1.48075,0.85122,1.18554,0.80974,0.76968,0.82728,0.60609,1.60955,0.89003,1.20407,0.00108938,0.00108938,0.00108938
37,3802.12,1.49079,0.84708,1.18392,0.82512,0.77736,0.83393,0.60828,1.62143,0.87836,1.2037,0.00107288,0.00107288,0.00107288
38,3904.79,1.47808,0.84148,1.18227,0.80014,0.77632,0.82681,0.60451,1.61474,0.88312,1.20371,0.00105638,0.00105638,0.00105638
39,4006.82,1.47568,0.83615,1.18345,0.81839,0.77808,0.83067,0.60477,1.61091,0.88217,1.20008,0.00103987,0.00103987,0.00103987
40,4108.86,1.47591,0.83585,1.17826,0.80427,0.7823,0.83158,0.601,1.62722,0.8785,1.21152,0.00102337,0.00102337,0.00102337
41,4210.56,1.46778,0.82926,1.17857,0.83692,0.76255,0.8296,0.60742,1.61521,0.87486,1.20548,0.00100687,0.00100687,0.00100687
42,4312.69,1.46056,0.81973,1.17401,0.82001,0.78431,0.83304,0.60891,1.61745,0.87586,1.20235,0.000990365,0.000990365,0.000990365
43,4414.95,1.4548,0.81871,1.17196,0.83256,0.78405,0.83872,0.6134,1.60641,0.86358,1.19719,0.000973861,0.000973861,0.000973861
44,4517.9,1.45476,0.8158,1.16744,0.8225,0.77801,0.83107,0.61065,1.61841,0.86853,1.20231,0.000957358,0.000957358,0.000957358
45,4620.32,1.44368,0.80452,1.16519,0.82407,0.77864,0.83594,0.6138,1.61321,0.86489,1.20083,0.000940855,0.000940855,0.000940855
46,4722.81,1.44509,0.8041,1.16527,0.82115,0.78129,0.83496,0.61137,1.61909,0.85895,1.20708,0.000924352,0.000924352,0.000924352
47,4825.06,1.44356,0.80257,1.16198,0.82485,0.78083,0.83566,0.61265,1.61428,0.85807,1.20666,0.000907848,0.000907848,0.000907848
48,4927.17,1.44654,0.79829,1.16371,0.82726,0.78419,0.83887,0.6178,1.61316,0.84748,1.19956,0.000891345,0.000891345,0.000891345
49,5030.3,1.44196,0.79689,1.15747,0.82365,0.78619,0.83993,0.6182,1.60491,0.8493,1.19485,0.000874842,0.000874842,0.000874842
50,5132.97,1.41996,0.78834,1.15613,0.82072,0.78569,0.83961,0.61713,1.60509,0.84005,1.19745,0.000858338,0.000858338,0.000858338
51,5234.94,1.42308,0.78048,1.15138,0.83068,0.78564,0.84038,0.6206,1.60254,0.83945,1.19654,0.000841835,0.000841835,0.000841835
52,5337.31,1.41832,0.77652,1.15077,0.83809,0.78144,0.84037,0.61931,1.60168,0.84148,1.19073,0.000825332,0.000825332,0.000825332
53,5439.73,1.41253,0.7719,1.15003,0.83605,0.78209,0.84015,0.61686,1.6138,0.83905,1.20654,0.000808828,0.000808828,0.000808828
54,5541.77,1.41295,0.77304,1.14611,0.84079,0.78709,0.84399,0.62095,1.60794,0.83811,1.19867,0.000792325,0.000792325,0.000792325
55,5644.51,1.40161,0.76322,1.14493,0.82096,0.79658,0.84436,0.62111,1.6072,0.83259,1.19585,0.000775822,0.000775822,0.000775822
56,5747.1,1.4027,0.75913,1.14211,0.82371,0.79563,0.84226,0.62041,1.60318,0.83441,1.19547,0.000759318,0.000759318,0.000759318
57,5849.56,1.3949,0.75489,1.13854,0.83441,0.78536,0.8416,0.62103,1.60978,0.83835,1.20041,0.000742815,0.000742815,0.000742815
58,5952.32,1.39081,0.75223,1.1342,0.82634,0.79468,0.84692,0.62652,1.60696,0.82786,1.19834,0.000726312,0.000726312,0.000726312
59,6054.8,1.38461,0.74566,1.13579,0.82473,0.79606,0.84371,0.61884,1.60244,0.82982,1.1973,0.000709809,0.000709809,0.000709809
